target_account,matched_customer,status
Anupam Rasayan,Anupam Industries Limited,FLAGGED - EXISTING CUSTOMER
Continental Carbon,Continental,FLAGGED - EXISTING CUSTOMER
Air Water India,Ate India,FLAGGED - EXISTING CUSTOMER
Nandini (Private),Rajnandini Metal Limited,FLAGGED - EXISTING CUSTOMER
Huntsman India,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Liberty Shoes,Linclimited,FLAGGED - EXISTING CUSTOMER
Ather Energy,Shera Energy,FLAGGED - EXISTING CUSTOMER
Sandur Manganese,THE SANDUR MANGANESE & IRON ORE,FLAGGED - EXISTING CUSTOMER
Pesticides India,India Pesticides Ltd,FLAGGED - EXISTING CUSTOMER
IPL Biologicals,British Biologicals,FLAGGED - EXISTING CUSTOMER
Insecticides India,Hindustan Insecticides Limited,FLAGGED - EXISTING CUSTOMER
Elgi Rubber,Linclimited,FLAGGED - EXISTING CUSTOMER
Vedanta (Ferro),Vedanta,FLAGGED - EXISTING CUSTOMER
Videocon (VVCL),Videocon Industries Limited,FLAGGED - EXISTING CUSTOMER
Suzuki Motorcycle,Suzuki Motorcycle India Private Ltd.,FLAGGED - EXISTING CUSTOMER
Ajanta Pharma,JAMP Pharma,FLAGGED - EXISTING CUSTOMER
Sintex Industries,Spentex Industries Limited,FLAGGED - EXISTING CUSTOMER
NPCIL,Linclimited,FLAGGED - EXISTING CUSTOMER
V V Mineral,V.V. MINERAL,FLAGGED - EXISTING CUSTOMER
Ducab India,Ducab,FLAGGED - EXISTING CUSTOMER
GNFC,Gujarat Narmada Valley Fertilizers and Chemical & Pharma Limited (GNFC),FLAGGED - EXISTING CUSTOMER
Ultraviolette,Linclimited,FLAGGED - EXISTING CUSTOMER
Nahar Spinning,P,FLAGGED - EXISTING CUSTOMER
CG State Mineral Dev,Ate India,FLAGGED - EXISTING CUSTOMER
MP State Mining Corp,Ate India,FLAGGED - EXISTING CUSTOMER
AM/NS India (Longs),Linclimited,FLAGGED - EXISTING CUSTOMER
Welspun Steel,Welspun USA,FLAGGED - EXISTING CUSTOMER
Caterpillar India,Ate India,FLAGGED - EXISTING CUSTOMER
Supreme Petrochem,Supreme Petrochem,FLAGGED - EXISTING CUSTOMER
Johnson & Johnson,SC Johnson & Sons,FLAGGED - EXISTING CUSTOMER
Tata Power (Coal),Tata Power - DDL,FLAGGED - EXISTING CUSTOMER
Tata Steel (Coal),Tata Bhushan Steel,FLAGGED - EXISTING CUSTOMER
Sany India,Sany India,FLAGGED - EXISTING CUSTOMER
Tirumala Milk,Linclimited,FLAGGED - EXISTING CUSTOMER
Givaudan India,Givaudan,FLAGGED - EXISTING CUSTOMER
Sangam India,Sangam India Ltd,FLAGGED - EXISTING CUSTOMER
SAIL (Captive Mines),Linclimited,FLAGGED - EXISTING CUSTOMER
JSW Steel (Wire Rod),JSW & Bhusan Power Steel,FLAGGED - EXISTING CUSTOMER
Action Construction Equipment (ACE),Action Construction Materials Equipment Ltd,FLAGGED - EXISTING CUSTOMER
Jubilant Pharmova,Jubilant,FLAGGED - EXISTING CUSTOMER
Abbott India,ABB,FLAGGED - EXISTING CUSTOMER
ACC/Ambuja (Captive),ACC Limited,FLAGGED - EXISTING CUSTOMER
SAIL (Scrap),Linclimited,FLAGGED - EXISTING CUSTOMER
IKEA India,IKEA,FLAGGED - EXISTING CUSTOMER
Pennar Industries (Tubes),UBE,FLAGGED - EXISTING CUSTOMER
Renault-Nissan,Linclimited,FLAGGED - EXISTING CUSTOMER
NALCO (Mining),LC,FLAGGED - EXISTING CUSTOMER
Transpek Industry,Transpek Silox Industry Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Lomon Billions,Linclimited,FLAGGED - EXISTING CUSTOMER
Tiki Tar Industries,Tiki Tar and Shell India,FLAGGED - EXISTING CUSTOMER
Beml Ltd,M/s BEML Limited Equipment Division Belavadi Post Mysore 570018.,FLAGGED - EXISTING CUSTOMER
Lapp India,LAPP IND,FLAGGED - EXISTING CUSTOMER
Krishi Rasayan,KRISHI RASAYAN EXPORTS PVT LTD.,FLAGGED - EXISTING CUSTOMER
Gati Ltd,Jain Irrigation Systems Ltd,FLAGGED - EXISTING CUSTOMER
VRL Logistics,BRISK LOGISTICS,FLAGGED - EXISTING CUSTOMER
TVS Supply Chain,quaternion supply chain solution,FLAGGED - EXISTING CUSTOMER
Allcargo Logistics,All Cargo Logistics,FLAGGED - EXISTING CUSTOMER
Same Deutz-Fahr,DE,FLAGGED - EXISTING CUSTOMER
Shree Steel Wire Ropes,Shree Ji Steel Corporation,FLAGGED - EXISTING CUSTOMER
JTL Industries,Linclimited,FLAGGED - EXISTING CUSTOMER
Hindalco Recycling,LC,FLAGGED - EXISTING CUSTOMER
Man Industries,Pret A Manger,FLAGGED - EXISTING CUSTOMER
JBF Industries,JBF PETROChemical & Pharma LIMITED,FLAGGED - EXISTING CUSTOMER
Gallantt Metal,Linclimited,FLAGGED - EXISTING CUSTOMER
Lux Industries,Luxottica Group S.p.A.,FLAGGED - EXISTING CUSTOMER
KIOCL Ltd,Linclimited,FLAGGED - EXISTING CUSTOMER
Orient Craft,Orient Cargo,FLAGGED - EXISTING CUSTOMER
RSWM (LNJ Bhilwara),HIL LIMITED,FLAGGED - EXISTING CUSTOMER
Himatsingka Seide,ATS,FLAGGED - EXISTING CUSTOMER
Adani-Valor (Indorama),Indorama,FLAGGED - EXISTING CUSTOMER
Belden India,Belden Inc.,FLAGGED - EXISTING CUSTOMER
SAIL (Captive),Linclimited,FLAGGED - EXISTING CUSTOMER
Kamdhenu Ispat,Ispat Industries Ltd,FLAGGED - EXISTING CUSTOMER
Bedmutha Industries,Bedmutha Industries Limited,FLAGGED - EXISTING CUSTOMER
Monnet Ispat,Monnet Ispat & Energy Ltd. Raigarh,FLAGGED - EXISTING CUSTOMER
SGL Carbon India,Linclimited,FLAGGED - EXISTING CUSTOMER
GHCL (Home Textiles),Linclimited,FLAGGED - EXISTING CUSTOMER
Madras Aluminium (MALCO),LC,FLAGGED - EXISTING CUSTOMER
KNR Constructions,Arabtec Construction,FLAGGED - EXISTING CUSTOMER
Shakti Bhog,Shakti Bhog,FLAGGED - EXISTING CUSTOMER
JSW Ispat Special,Linclimited,FLAGGED - EXISTING CUSTOMER
Ashirvad Pipes (Aliaxis),Linclimited,FLAGGED - EXISTING CUSTOMER
BRPL (Bhushan),Linclimited,FLAGGED - EXISTING CUSTOMER
MMRCL,Linclimited,FLAGGED - EXISTING CUSTOMER
Facor Alloys,Sunalco Alloys Pvt Ltd,FLAGGED - EXISTING CUSTOMER
IOL Chemicals,Alps Chemicals Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
Zuari Agro Chemicals,Linclimited,FLAGGED - EXISTING CUSTOMER
NALCO (Captive),LC,FLAGGED - EXISTING CUSTOMER
Packaging Converters,AGI,FLAGGED - EXISTING CUSTOMER
Rossari Biotech,Rossari Biotech Ltd,FLAGGED - EXISTING CUSTOMER
Siyaram Silk,Siyaram's,FLAGGED - EXISTING CUSTOMER
Modern Coach Factory,Modern Industries Ltd.,FLAGGED - EXISTING CUSTOMER
Gits Food Products,C P Milk and Food Products Pvt.,FLAGGED - EXISTING CUSTOMER
Bharat Biotech,Bharat Biotech,FLAGGED - EXISTING CUSTOMER
Vadilal Industries,Vadilal Group,FLAGGED - EXISTING CUSTOMER
Pengg Industries,P,FLAGGED - EXISTING CUSTOMER
Rungta Steel,Sonata Steel Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
Ineos Styrolution,Nexeo Solutions,FLAGGED - EXISTING CUSTOMER
Orissa Sponge Iron,Sambhv Sponge Iron Power Pvt,FLAGGED - EXISTING CUSTOMER
Sadbhav Engineering,Jash Engineering Limited,FLAGGED - EXISTING CUSTOMER
SABIC India,SABIC Innovative Plastics India Private Limited,FLAGGED - EXISTING CUSTOMER
Linde Engineering,Triveni Engineering & Industries Limited,FLAGGED - EXISTING CUSTOMER
Ambika Cotton,Ramraj Cotton,FLAGGED - EXISTING CUSTOMER
Dilip Buildcon,Linclimited,FLAGGED - EXISTING CUSTOMER
SPIC,SPIC Ltd,FLAGGED - EXISTING CUSTOMER
Wabtec India,ABT Limited,FLAGGED - EXISTING CUSTOMER
Preethi (Elgi),REE,FLAGGED - EXISTING CUSTOMER
Symrise India,Symrise AG,FLAGGED - EXISTING CUSTOMER
XpressBees,XP India,FLAGGED - EXISTING CUSTOMER
SP Apparels,Linclimited,FLAGGED - EXISTING CUSTOMER
Prysmian India,P,FLAGGED - EXISTING CUSTOMER
Kiri Industries,Lonsen Kiri Chemical Industries Ltd ( Lonsen Group ),FLAGGED - EXISTING CUSTOMER
Madras Fertilizers,Linclimited,FLAGGED - EXISTING CUSTOMER
Camlin Fine Sciences,CANIXA LIFE SCIENCES PVT,FLAGGED - EXISTING CUSTOMER
Diesel Locomotive Works,Linclimited,FLAGGED - EXISTING CUSTOMER
Liebherr India,Linclimited,FLAGGED - EXISTING CUSTOMER
BPL Medical,Linclimited,FLAGGED - EXISTING CUSTOMER
Cargill India (Foods),Amrit Foods,FLAGGED - EXISTING CUSTOMER
BigBasket (Tata),T.T. LIMITED,FLAGGED - EXISTING CUSTOMER
GlaxoSmithKline (Foods),Linclimited,FLAGGED - EXISTING CUSTOMER
Granules India,Granules India Ltd,FLAGGED - EXISTING CUSTOMER
Continental India,CONTINENTAL INDIA PRIVATE LIMITED - MODI PURAM,FLAGGED - EXISTING CUSTOMER
KRBL,Linclimited,FLAGGED - EXISTING CUSTOMER
Okinawa Autotech,Indo Autotech Limited,FLAGGED - EXISTING CUSTOMER
Wolkem India,Linclimited,FLAGGED - EXISTING CUSTOMER
Tata Steel (Pig),Tata Bhushan Steel,FLAGGED - EXISTING CUSTOMER
Matix Fertilisers,Linclimited,FLAGGED - EXISTING CUSTOMER
Mangalore Chemicals,Calibre Chemicals,FLAGGED - EXISTING CUSTOMER
Indorama (Petrochem),Indorama,FLAGGED - EXISTING CUSTOMER
Rice Millers (Bran),Linclimited,FLAGGED - EXISTING CUSTOMER
Electrolux India,Lux Industries Ltd,FLAGGED - EXISTING CUSTOMER
Integral Coach Factory,Linclimited,FLAGGED - EXISTING CUSTOMER
JSW Steel (Sponge),JSW & Bhusan Power Steel,FLAGGED - EXISTING CUSTOMER
GSECL,Secil,FLAGGED - EXISTING CUSTOMER
Paragon Polymer,Ronch Polymers Pvt,FLAGGED - EXISTING CUSTOMER
Hitachi Energy,Hitachi Energy,FLAGGED - EXISTING CUSTOMER
Universal Cables,Universal Cables Pvt Ltd (MP Birla Group),FLAGGED - EXISTING CUSTOMER
Steel Mart (SSC),Linclimited,FLAGGED - EXISTING CUSTOMER
Mahanadi Coalfields,Linclimited,FLAGGED - EXISTING CUSTOMER
Mahindra Ugine (SMP),P,FLAGGED - EXISTING CUSTOMER
MSTC Ltd,MMTC Limited,FLAGGED - EXISTING CUSTOMER
IOCL (Chemicals),Alps Chemicals Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
AM/NS (Sponge),P,FLAGGED - EXISTING CUSTOMER
KS Oils,Linclimited,FLAGGED - EXISTING CUSTOMER
Safexpress,XP India,FLAGGED - EXISTING CUSTOMER
Bharat Wire Ropes,Bharat Wire Ropes,FLAGGED - EXISTING CUSTOMER
McCain India,McCain Foods,FLAGGED - EXISTING CUSTOMER
Auto Dismantlers (Chennai),Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
GSK Pharma India,GSK,FLAGGED - EXISTING CUSTOMER
Prabhat Dairy,Prabhat Dairy,FLAGGED - EXISTING CUSTOMER
JSPL (Scrap),Linclimited,FLAGGED - EXISTING CUSTOMER
Butterfly Gandhimathi,Butterfly Gandhimathi Appliances Limited,FLAGGED - EXISTING CUSTOMER
Southern Petrochemical,Kothari Petrochemicals Ltd.,FLAGGED - EXISTING CUSTOMER
Lotte Chemical (ex-LG),Linclimited,FLAGGED - EXISTING CUSTOMER
Hindustan Syringes,Hindustan Syringes & Medical Devices,FLAGGED - EXISTING CUSTOMER
L&T (Roads),H T L LTD - GUINDY,FLAGGED - EXISTING CUSTOMER
Catch (DS Group),Coats Group,FLAGGED - EXISTING CUSTOMER
Maithan Steel,Linclimited,FLAGGED - EXISTING CUSTOMER
Fertilisers & Chem Travancore,FERTILISERS AND CHEMICALS TRAVANCORE LIMITED,FLAGGED - EXISTING CUSTOMER
Swiggy (Instamart),Swiggy,FLAGGED - EXISTING CUSTOMER
Ghaziabad Re-rollers,Linclimited,FLAGGED - EXISTING CUSTOMER
BMRCL,Linclimited,FLAGGED - EXISTING CUSTOMER
Rail Coach Factory,Linclimited,FLAGGED - EXISTING CUSTOMER
Foundry Cluster (Coimbatore),Linclimited,FLAGGED - EXISTING CUSTOMER
Rasi Seeds,Rashi Steel Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
Mandhana Industries,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Hindalco (Conductors),LC,FLAGGED - EXISTING CUSTOMER
Electrosteel (TMT),ELECTROSTEEL STEELS LTD,FLAGGED - EXISTING CUSTOMER
Blinkit (Zomato),Zomato Ltd.,FLAGGED - EXISTING CUSTOMER
Electrosteel Steels,ELECTROSTEEL STEELS LTD,FLAGGED - EXISTING CUSTOMER
Prakash Industries,Prakash Chemical & Pharma International Private Limited,FLAGGED - EXISTING CUSTOMER
CEVA Logistics,20Cube Logistics,FLAGGED - EXISTING CUSTOMER
Foundry Cluster (Rajkot),Linclimited,FLAGGED - EXISTING CUSTOMER
EMCO Transformers,RS,FLAGGED - EXISTING CUSTOMER
Venky's India,Venky's (India) Limited,FLAGGED - EXISTING CUSTOMER
Milma (Kerala),Linclimited,FLAGGED - EXISTING CUSTOMER
Sical Logistics,Sinha logistics,FLAGGED - EXISTING CUSTOMER
HomeLane,Linclimited,FLAGGED - EXISTING CUSTOMER
Goldi Solar,Goldi Solar Pvt Ltd - EXIM,FLAGGED - EXISTING CUSTOMER
Avaada Energy,VARO Energy,FLAGGED - EXISTING CUSTOMER
Jindal SAW (O&G),Jindal Saw - Vayudoot,FLAGGED - EXISTING CUSTOMER
Patel Integrated,Ate India,FLAGGED - EXISTING CUSTOMER
DB Schenker,DB SCHENKER,FLAGGED - EXISTING CUSTOMER
DTDC Express,XP India,FLAGGED - EXISTING CUSTOMER
Manganese Ore India,THE SANDUR MANGANESE & IRON ORE,FLAGGED - EXISTING CUSTOMER
Ecom Express,XP India,FLAGGED - EXISTING CUSTOMER
Komatsu India Pvt Ltd,Komatsu,FLAGGED - EXISTING CUSTOMER
Shree Maruti Courier,REE,FLAGGED - EXISTING CUSTOMER
USG Boral,USG Boral Middle East,FLAGGED - EXISTING CUSTOMER
Rungta Mines/Steel,Jindal Steel & Power -Mines & Plant Automation,FLAGGED - EXISTING CUSTOMER
Rivigo,Rivigo,FLAGGED - EXISTING CUSTOMER
Blue Dart (DHL),Blue Dart Express Ltd,FLAGGED - EXISTING CUSTOMER
Bhushan Power,Bhushan Power & Steel,FLAGGED - EXISTING CUSTOMER
Hindalco,LC,FLAGGED - EXISTING CUSTOMER
Kuehne+Nagel,Kuehne Nagel India,FLAGGED - EXISTING CUSTOMER
Fertilizer Companies,Linclimited,FLAGGED - EXISTING CUSTOMER
Agility Logistics,Equity Logistics,FLAGGED - EXISTING CUSTOMER
Action Footwear,XO Footwear,FLAGGED - EXISTING CUSTOMER
JSW (Captive),P,FLAGGED - EXISTING CUSTOMER
Rajdhani (Chana Dal),Linclimited,FLAGGED - EXISTING CUSTOMER
Dr Reddys Laboratories,Hamdard Laboratories India,FLAGGED - EXISTING CUSTOMER
KSB India,KSB LIMITED - PUNE,FLAGGED - EXISTING CUSTOMER
Ingersoll Rand India,Ingersoll Rand,FLAGGED - EXISTING CUSTOMER
Siemens Gamesa India,MES,FLAGGED - EXISTING CUSTOMER
LM Wind Power (GE),Linclimited,FLAGGED - EXISTING CUSTOMER
Magicrete Building,AGI,FLAGGED - EXISTING CUSTOMER
Kwality Feeds,Linclimited,FLAGGED - EXISTING CUSTOMER
Greenko,REE,FLAGGED - EXISTING CUSTOMER
IG International,Sohamma International Pvt,FLAGGED - EXISTING CUSTOMER
Tata Steel (Ferro),Tata Bhushan Steel,FLAGGED - EXISTING CUSTOMER
McDonald's (Buyer),Linclimited,FLAGGED - EXISTING CUSTOMER
OMC (Odisha Mining),Odisha Mining Corporation Limited,FLAGGED - EXISTING CUSTOMER
HPCL (Chemicals),Calibre Chemicals,FLAGGED - EXISTING CUSTOMER
Grasim (Chlor-Alkali),ASI Industries Ltd.,FLAGGED - EXISTING CUSTOMER
RINL (Coal),Linclimited,FLAGGED - EXISTING CUSTOMER
Balco (Vedanta),Vedanta,FLAGGED - EXISTING CUSTOMER
Agarwal Packers,Agarwal Carriers,FLAGGED - EXISTING CUSTOMER
RINL (Semis),Linclimited,FLAGGED - EXISTING CUSTOMER
Faurecia India,Faurecia,FLAGGED - EXISTING CUSTOMER
Cream Bell,Linclimited,FLAGGED - EXISTING CUSTOMER
SKF India,SKF India,FLAGGED - EXISTING CUSTOMER
Okaya Power,Oriana Power,FLAGGED - EXISTING CUSTOMER
Timken India,The Timken Company,FLAGGED - EXISTING CUSTOMER
Greaves Cotton,Greaves Cotton Limited,FLAGGED - EXISTING CUSTOMER
NRB Bearings,ZNL Bearings,FLAGGED - EXISTING CUSTOMER
UFLEX (Packaging),UFLEX Limited,FLAGGED - EXISTING CUSTOMER
Shyam Ferro Alloys,Hira Ferro Alloys Ltd - India,FLAGGED - EXISTING CUSTOMER
Tata Steel BSL,Tata BSL Inplant Coil Tracking,FLAGGED - EXISTING CUSTOMER
Godrej Consumer (Oils),Linclimited,FLAGGED - EXISTING CUSTOMER
Kamdhenu Paints,P,FLAGGED - EXISTING CUSTOMER
Kals Beverages,Vivala beverages,FLAGGED - EXISTING CUSTOMER
Chambal Fertilisers (IPL),Chambal Fertilisers and Chemicals Limited,FLAGGED - EXISTING CUSTOMER
Chettinad Silica,"TTI,",FLAGGED - EXISTING CUSTOMER
Walmart India (Wholesale),Metro Wholesale,FLAGGED - EXISTING CUSTOMER
Imerys India,Imerys,FLAGGED - EXISTING CUSTOMER
Moglix,Moglix,FLAGGED - EXISTING CUSTOMER
Electrotherm India,Electrotherm (India) Limited,FLAGGED - EXISTING CUSTOMER
V-Mart,IndiaMART,FLAGGED - EXISTING CUSTOMER
Rane Group,Maini Group,FLAGGED - EXISTING CUSTOMER
ZF India,ZF Group,FLAGGED - EXISTING CUSTOMER
Flowserve India,Linclimited,FLAGGED - EXISTING CUSTOMER
L&T Infrastructure,Conquest Infrastructure Pvt Ltd,FLAGGED - EXISTING CUSTOMER
FM Logistic,PH Logistics,FLAGGED - EXISTING CUSTOMER
Snowman Logistics,Sinha logistics,FLAGGED - EXISTING CUSTOMER
Visa Steel,Shyam Steel Industries Ltd,FLAGGED - EXISTING CUSTOMER
Aisin India,ASI Industries Ltd.,FLAGGED - EXISTING CUSTOMER
Gokul (Maharashtra),Linclimited,FLAGGED - EXISTING CUSTOMER
Steel Authority (Alloy),Linclimited,FLAGGED - EXISTING CUSTOMER
Godawari Power (TMT),India Power,FLAGGED - EXISTING CUSTOMER
Lal PathLabs (Hariom),Linclimited,FLAGGED - EXISTING CUSTOMER
Precot Meridian,PRECOT,FLAGGED - EXISTING CUSTOMER
Tata Power Solar,Tata Power - DDL,FLAGGED - EXISTING CUSTOMER
NTPC (Solar/Renewable),NTPC LIMITED,FLAGGED - EXISTING CUSTOMER
Balkrishna Industries,BALKRISHNA INDUSTRIES LIMITED,FLAGGED - EXISTING CUSTOMER
Siemens Mobility,sun mobility,FLAGGED - EXISTING CUSTOMER
BCL Industries,BFCL,FLAGGED - EXISTING CUSTOMER
Auto Dismantlers (Delhi),Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Auto OEM Suppliers,Linclimited,FLAGGED - EXISTING CUSTOMER
Bombay Dyeing (Fibres),Bombay Dyeing,FLAGGED - EXISTING CUSTOMER
Adani Logistics,R. Sai Logistics India Pvt,FLAGGED - EXISTING CUSTOMER
Raymond Synthetics,Raymond,FLAGGED - EXISTING CUSTOMER
ISMT Ltd,ISMT,FLAGGED - EXISTING CUSTOMER
Coromandel (Acids),Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
KRCL (Konkan),Linclimited,FLAGGED - EXISTING CUSTOMER
Reliance (PVC Resin),Reliance Industries Ltd,FLAGGED - EXISTING CUSTOMER
Vikram Ship Breaking,AKI,FLAGGED - EXISTING CUSTOMER
South Eastern Coalfields,Northern Coalfields Limited,FLAGGED - EXISTING CUSTOMER
KTM/Husqvarna (Bajaj),Bajaj,FLAGGED - EXISTING CUSTOMER
Godrej Tyson,Godrej,FLAGGED - EXISTING CUSTOMER
Spar India,Spark Minda Corporation TMS Deal,FLAGGED - EXISTING CUSTOMER
Neuland Labs,Neuland Labs,FLAGGED - EXISTING CUSTOMER
Dunlop India,Linclimited,FLAGGED - EXISTING CUSTOMER
Eco Recycling (Ecoreco),Linclimited,FLAGGED - EXISTING CUSTOMER
Bhavnagar Re-rollers,NAGA LIMITED,FLAGGED - EXISTING CUSTOMER
Ester Industries,WESTERN Airconditioning & Refrigeration Pvt. ltd.,FLAGGED - EXISTING CUSTOMER
Fomento Resources,Fomento,FLAGGED - EXISTING CUSTOMER
Domino's (Jubilant),Domino's Pizza,FLAGGED - EXISTING CUSTOMER
Soybean Processors Assn,P,FLAGGED - EXISTING CUSTOMER
JSW Paints,Snowcem Paints,FLAGGED - EXISTING CUSTOMER
Dynamic Cables,Linclimited,FLAGGED - EXISTING CUSTOMER
Nippon Gases (JV),P,FLAGGED - EXISTING CUSTOMER
Country Delight,Linclimited,FLAGGED - EXISTING CUSTOMER
Medha Servo Drives,medha,FLAGGED - EXISTING CUSTOMER
Laxmi Organic,ORGANIC INDIA,FLAGGED - EXISTING CUSTOMER
Stovekraft (Pigeon),P,FLAGGED - EXISTING CUSTOMER
Rathi Steel,Rashi Steel Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
Kaveri Seed,KAVERISEEDS,FLAGGED - EXISTING CUSTOMER
Import Terminals,T.T. LIMITED,FLAGGED - EXISTING CUSTOMER
VST Tillers,T.T. LIMITED,FLAGGED - EXISTING CUSTOMER
Donear Industries,Donears,FLAGGED - EXISTING CUSTOMER
Chaman Lal Setia,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Elecon Engineering,Triveni Engineering & Industries Limited,FLAGGED - EXISTING CUSTOMER
Metro Cash & Carry,Metro,FLAGGED - EXISTING CUSTOMER
Jindal Steel (Rails),Jindal Steel & Power -Mines & Plant Automation,FLAGGED - EXISTING CUSTOMER
Foundry Cluster (Kolhapur),Linclimited,FLAGGED - EXISTING CUSTOMER
Panacea Biotec,Panacea Biotec,FLAGGED - EXISTING CUSTOMER
Excel Crop Care,Samhitha Crop Care Clinics,FLAGGED - EXISTING CUSTOMER
Syngene International,ANA International,FLAGGED - EXISTING CUSTOMER
JK Tyre,JK Tyre & Industries Limited,FLAGGED - EXISTING CUSTOMER
Adani Wilmar (Foods),Adani Wilmar Ltd,FLAGGED - EXISTING CUSTOMER
Hitachi India,Tata Hitachi Construction Materials Manufacturing,FLAGGED - EXISTING CUSTOMER
Alom Industries,Alom Poly Extrusions,FLAGGED - EXISTING CUSTOMER
Paper Boat (Hector Beverages),Hector Beverages,FLAGGED - EXISTING CUSTOMER
Neogen Chemicals,Fineotex Chemical Limited,FLAGGED - EXISTING CUSTOMER
Morgan Advanced India,DVA,FLAGGED - EXISTING CUSTOMER
Kandui Industries,By Kandui,FLAGGED - EXISTING CUSTOMER
Srikalahasthi Pipes,Linclimited,FLAGGED - EXISTING CUSTOMER
Sula Vineyards,Vin Industries,FLAGGED - EXISTING CUSTOMER
IFB Agro,IB Group,FLAGGED - EXISTING CUSTOMER
GRM Overseas,ABIR Overseas,FLAGGED - EXISTING CUSTOMER
Attero Recycling,Linclimited,FLAGGED - EXISTING CUSTOMER
Nuberg Engineering,VINIR Engineering Private Limited,FLAGGED - EXISTING CUSTOMER
Oriental Aromatics,Aromatics India Pvt,FLAGGED - EXISTING CUSTOMER
Biostadt India,Biostadt India Limited,FLAGGED - EXISTING CUSTOMER
Rama Steel Tubes,UBE,FLAGGED - EXISTING CUSTOMER
Sicgil India,SICGIL INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
SKF India (Seals),Linclimited,FLAGGED - EXISTING CUSTOMER
Mahindra Sanyo Special,Sany India,FLAGGED - EXISTING CUSTOMER
Apollo Pipes,Apollo Tyres Ltd,FLAGGED - EXISTING CUSTOMER
Essar Steel (Sponge),essarsteel.co.in,FLAGGED - EXISTING CUSTOMER
Privi Speciality,Linclimited,FLAGGED - EXISTING CUSTOMER
Siemens Home,Siemens Ltd.,FLAGGED - EXISTING CUSTOMER
N.K. Proteins,P,FLAGGED - EXISTING CUSTOMER
Ramagundam Fertilizers,Linclimited,FLAGGED - EXISTING CUSTOMER
Lloyds Line Pipes,Linclimited,FLAGGED - EXISTING CUSTOMER
HD Hyundai CE India,Hyundai,FLAGGED - EXISTING CUSTOMER
Uno Minda,UNO MINDA Group,FLAGGED - EXISTING CUSTOMER
Bejo Sheetal,Linclimited,FLAGGED - EXISTING CUSTOMER
Dalmia Recycling,Linclimited,FLAGGED - EXISTING CUSTOMER
SKM Animal Feeds,SKM Animal Feeds & Foods,FLAGGED - EXISTING CUSTOMER
Asian Gases,ASI Industries Ltd.,FLAGGED - EXISTING CUSTOMER
Bharat Forge (Rail),Linclimited,FLAGGED - EXISTING CUSTOMER
Synthomer India,Synthomer plc,FLAGGED - EXISTING CUSTOMER
Scania India,Scania,FLAGGED - EXISTING CUSTOMER
Suryoday Steel,Linclimited,FLAGGED - EXISTING CUSTOMER
Preet Tractors,T.T. LIMITED,FLAGGED - EXISTING CUSTOMER
AYM Syntex,GM Syntex,FLAGGED - EXISTING CUSTOMER
Myntra (Flipkart),Flipkart India Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Eicher Tractors (TMTL),TMTL Engines - Eicher Engines,FLAGGED - EXISTING CUSTOMER
Nova Steel,Purva Steel Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Tata Power,Tata Power - DDL,FLAGGED - EXISTING CUSTOMER
Esdee Paints,P,FLAGGED - EXISTING CUSTOMER
Audi India,Saudi Radwa Food Co,FLAGGED - EXISTING CUSTOMER
Kwality Ltd,Linclimited,FLAGGED - EXISTING CUSTOMER
Ampere (Greaves),P,FLAGGED - EXISTING CUSTOMER
Sibelco India,LC,FLAGGED - EXISTING CUSTOMER
Jotun India,jotun,FLAGGED - EXISTING CUSTOMER
Trelleborg India,Trelleborg Group,FLAGGED - EXISTING CUSTOMER
Sun Chemical,Sudarshan Chemical Industries,FLAGGED - EXISTING CUSTOMER
CICO Technologies,Zaimah Technologies,FLAGGED - EXISTING CUSTOMER
Pennar Aluminium,Reynaers Aluminium,FLAGGED - EXISTING CUSTOMER
Precision Wires India,PRECISION WIRES INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
Piccadily Agro (Indri),Linclimited,FLAGGED - EXISTING CUSTOMER
UltraTech (Pet Coke),Ate India,FLAGGED - EXISTING CUSTOMER
HPCL (Bitumen),HP Inc.,FLAGGED - EXISTING CUSTOMER
Kriti Industries,KRITIKA WIRES LIMITED,FLAGGED - EXISTING CUSTOMER
Shree Renuka Sugars (Oils),sugarindia,FLAGGED - EXISTING CUSTOMER
Bayer CropScience (Seeds),BAYER CROP SCIENCE LIMITED,FLAGGED - EXISTING CUSTOMER
Cargill India (Feed),Capital Feed Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Everest Industries,Everest Industries Limited,FLAGGED - EXISTING CUSTOMER
