target_account,matched_customer,status
Astral Ltd,Astral,FLAGGED - EXISTING CUSTOMER
RIL Retail (Polymer Dist),Linclimited,FLAGGED - EXISTING CUSTOMER
Chambal Fertilisers,Chambal Fertilisers and Chemicals Limited,FLAGGED - EXISTING CUSTOMER
Raymond Ltd,Raymond,FLAGGED - EXISTING CUSTOMER
OMC Ltd (Odisha Mining),Odisha Mining Corporation Limited,FLAGGED - EXISTING CUSTOMER
PI Industries,Pinnacle Transport Services,FLAGGED - EXISTING CUSTOMER
SRF Ltd (Tech Textiles),SRF,FLAGGED - EXISTING CUSTOMER
Texmaco Rail,Linclimited,FLAGGED - EXISTING CUSTOMER
3M India,3M India Ltd,FLAGGED - EXISTING CUSTOMER
Diamond Power,Diamond Exports,FLAGGED - EXISTING CUSTOMER
Ashapura Minechem,ECH,FLAGGED - EXISTING CUSTOMER
Vijay Solvex,Vijay Sales,FLAGGED - EXISTING CUSTOMER
CG Power & Industrial,Linclimited,FLAGGED - EXISTING CUSTOMER
Tata AutoComp,TATA AutoComp Systems Ltd,FLAGGED - EXISTING CUSTOMER
HEG Ltd,Hega Logistics,FLAGGED - EXISTING CUSTOMER
L&T Construction & Mining,H T L LTD - GUINDY,FLAGGED - EXISTING CUSTOMER
Fine Organic,Tradin Organic,FLAGGED - EXISTING CUSTOMER
Orient Electric,Orient Electric Limited,FLAGGED - EXISTING CUSTOMER
Time Technoplast,Linclimited,FLAGGED - EXISTING CUSTOMER
Syrma SGS,SYRMA SGS,FLAGGED - EXISTING CUSTOMER
Paramount Cables,Linclimited,FLAGGED - EXISTING CUSTOMER
Ellenbarrie Industrial Gases,Linclimited,FLAGGED - EXISTING CUSTOMER
Jupiter Wagons,P,FLAGGED - EXISTING CUSTOMER
Tata Steel (Railway),Tata Bhushan Steel,FLAGGED - EXISTING CUSTOMER
Anand Automotive,Karsan Automotive,FLAGGED - EXISTING CUSTOMER
Tata Hitachi Construction Machinery,Tata Hitachi Construction Materials Manufacturing,FLAGGED - EXISTING CUSTOMER
Bata India,Bata India,FLAGGED - EXISTING CUSTOMER
Rail Wheel Factory,Linclimited,FLAGGED - EXISTING CUSTOMER
Bikanervala,Bikanervala Foods Pvt. Ltd,FLAGGED - EXISTING CUSTOMER
Fosroc India,Fosroc - End to End TMS,FLAGGED - EXISTING CUSTOMER
RHI Magnesita,RHI Magnesita,FLAGGED - EXISTING CUSTOMER
Filatex India,Ate India,FLAGGED - EXISTING CUSTOMER
Solara Active Pharma,pharma&,FLAGGED - EXISTING CUSTOMER
Kaynes Technology,Kaynes Technology,FLAGGED - EXISTING CUSTOMER
Saint-Gobain India,SAINT - GOBAIN INDIA PRIVATE - JIND,FLAGGED - EXISTING CUSTOMER
Kirloskar Oil Engines,Linclimited,FLAGGED - EXISTING CUSTOMER
Tata Metaliks (DI),Linclimited,FLAGGED - EXISTING CUSTOMER
Lloyds Metals,Linclimited,FLAGGED - EXISTING CUSTOMER
DCM Shriram (Chlor-Alkali),DCM SHRIRAM LIMITED - KOTA,FLAGGED - EXISTING CUSTOMER
Apollo Tyres (Rubber),Apollo Tyres Ltd,FLAGGED - EXISTING CUSTOMER
Yazaki India,AKI,FLAGGED - EXISTING CUSTOMER
K.P.R. Mill,R A K CERAMICS INDIA PRIVATE - SAMALKOTA,FLAGGED - EXISTING CUSTOMER
Mars India,Mars International India Pvt Ltd(Mars Petcare),FLAGGED - EXISTING CUSTOMER
Indo Alusys,Indo Alusys Industries Limited,FLAGGED - EXISTING CUSTOMER
Fenner India,Flender,FLAGGED - EXISTING CUSTOMER
Balasore Alloys,Linclimited,FLAGGED - EXISTING CUSTOMER
L&T Hydrocarbon,Roca India,FLAGGED - EXISTING CUSTOMER
Bombay Dyeing,Bombay Dyeing,FLAGGED - EXISTING CUSTOMER
Adani Solar (Mundra),Linclimited,FLAGGED - EXISTING CUSTOMER
SOM Distilleries,Alcobrew Distilleries India Pvt,FLAGGED - EXISTING CUSTOMER
Leela Ship Recycling,Linclimited,FLAGGED - EXISTING CUSTOMER
Astral Adhesives,Astral,FLAGGED - EXISTING CUSTOMER
Godrej Process Equipment,PM INDUSTRIES India,FLAGGED - EXISTING CUSTOMER
Garden Silk Mills,Linclimited,FLAGGED - EXISTING CUSTOMER
Godawari Power,Goldstar Power Limited,FLAGGED - EXISTING CUSTOMER
MOIL (Manganese),Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Relaxo Footwears,Relaxo Footwear,FLAGGED - EXISTING CUSTOMER
Vedanta (Aluminium),Vedanta,FLAGGED - EXISTING CUSTOMER
Globus Spirits,Globus,FLAGGED - EXISTING CUSTOMER
Gujarat Ambuja Exports,XP India,FLAGGED - EXISTING CUSTOMER
Maithan Alloys,Linclimited,FLAGGED - EXISTING CUSTOMER
Kirloskar Brothers,Kirloskar Brothers Ltd,FLAGGED - EXISTING CUSTOMER
